# EV is used as shorthand, but the Elevation-volume and elevation-area tables were updated for all simulations.	
# Data	Description
# 2010NatFlowRun	Gains above Mead from the 2010 update run. Included to compare against to make sure no other changes were made in the sub-basin above Mead.
# ExistingEVTable	Existing EV (elevation volume) data is from a simulation made with the EV table included in the 2010 update natural flow and salt model. This EV table does not match the old (1963) or new (2009) EV table.
# OldEVTable	From a simulation using the 1963 EV table.
# NewEVTable	From a simulation using the 2009 EV table.
,2010NatFlowRun,ExistingEVTable,OldEVTable,NewEVTable
May-92,34938.55,34938.55,34938.54,35957.88
Jun-92,-8576.08,-8576.08,-8576.23,-7715.17
Jul-92,42273.68,42273.68,42274.08,42537.48
Aug-92,66307.97,66307.97,66308.03,65981.47
Sep-92,61682.53,61682.53,61682.82,60646.74
Oct-92,47164.44,47164.44,47164.3,46717.1
Nov-92,23816.58,23816.58,23816.08,23079.56
Dec-92,80805.04,80805.04,80805.08,79853.78
Jan-93,174143.56,174143.56,174143.45,170164.61
Feb-93,150028.15,150028.15,150028.39,145263.9
Mar-93,157698.02,157698.02,161581.08,159001.98
Apr-93,86822.14,86822.14,86822.37,86814.59
May-93,35342.97,35342.97,33557.04,35004.51
Jun-93,-11686.48,-11686.48,-13782.9,-12582.11
Jul-93,7267.72,7267.72,7267.71,7510.14
Aug-93,100178.01,100178.01,100178.26,98684.02
Sep-93,68569.86,68569.86,68569.43,67528.14
Oct-93,13541.62,13541.62,13542,14002.34
Nov-93,36761.80,36761.8,36762.12,36111.65
Dec-93,38476.13,38476.13,38475.92,37944.06
Jan-94,64236.78,64236.78,64935.44,63647.16
Feb-94,52994.17,52994.17,56178.49,55181.98
Mar-94,38971.39,38971.39,35088.75,36876.42
Apr-94,18364.97,18364.97,18365.06,20668.6
May-94,28749.74,28749.74,28749.24,30540.17
Jun-94,-11936.18,-11936.18,-11935.88,-11003.56
Jul-94,36604.10,36604.1,36604.31,36457.46
Aug-94,61710.86,61710.86,61710.89,61682.52
Sep-94,54305.45,54305.45,54305.24,53885.99
Oct-94,19163.41,19163.41,19164.01,19242.39
Nov-94,-8361.55,-8361.55,-8362.27,-7540.46
Dec-94,60417.55,60417.55,60417.86,59772.87
Jan-95,137355.34,137355.34,137354.94,135191.57
Feb-95,70234.68,70234.68,70235.16,68751.32
Mar-95,73031.60,73031.6,73031.54,73007.68
Apr-95,51822.29,51822.29,51822.42,53077.75
May-95,76599.97,76599.97,76599.83,77035.51
Jun-95,8867.81,8867.81,8868.25,8206.64
Jul-95,40553.89,40553.89,40553.48,39237.98
Aug-95,46635.64,46635.64,46635.82,45593.37
Sep-95,36593.65,36593.65,36593.61,34560.32
Oct-95,10927.86,10927.86,10928.35,9263.28
Nov-95,21218.01,21218.01,21217.61,18249.79
Dec-95,4461.62,4461.62,8344.89,6935.34
Jan-96,9895.55,9895.55,9895.33,8317.55
Feb-96,11604.20,11604.2,11604,11287.73
Mar-96,-62914.89,-62914.89,-62914.84,-63073.74
Apr-96,82865.41,82865.41,82865.87,83175.95
May-96,8484.95,8484.95,8485.15,9047.34
Jun-96,3517.41,3517.41,2974.38,3159.07
Jul-96,60194.58,60194.58,58874.3,58604.08
Aug-96,28870.63,28870.63,27007.12,26753.35
Sep-96,14237.88,14237.88,17965.77,16727.85
Oct-96,-13898.56,-13898.56,-13898.63,-14618.14
Nov-96,29685.08,29685.08,29685.25,28785.85
Dec-96,13008.50,13008.5,13008.34,12012.39
Jan-97,24639.74,24639.74,24639.74,24061.33
Feb-97,-33476.31,-33476.31,-33476.15,-33830.64
Mar-97,32480.38,32480.38,32480.37,31804.71
Apr-97,31572.40,31572.4,31572.87,31371.33
May-97,18001.78,18001.78,18001.72,17942.36
Jun-97,-23656.34,-23656.34,-23656.82,-23863.26
Jul-97,34484.10,34484.1,34485.08,34979.42
Aug-97,85177.08,85177.08,85177.38,85935.12
Sep-97,16124.56,16124.56,16124.4,17209
Oct-97,-17609.12,-17609.12,-17609.16,-14245.3
Nov-97,41171.01,41171.01,41715.94,44779.51
Dec-97,4143.63,4143.63,4143.84,6175.92
Jan-98,39323.90,39323.9,39323.67,39410.45
Feb-98,63755.92,63755.92,63755.37,63717.72
Mar-98,54731.71,54731.71,54732.03,55235.97
Apr-98,53894.61,53894.61,53894.68,52916.49
May-98,50461.12,50461.12,50461.4,49856
Jun-98,32752.03,32752.03,32751.91,33518.87
Jul-98,86156.48,86156.48,86156.64,87416.75
Aug-98,70684.10,70684.1,70683.74,73103.58
Sep-98,61480.45,61480.45,61480.49,62497.57
Oct-98,22013.32,22013.32,22013.32,23278.75
Nov-98,33057.29,33057.29,33057.29,32628.05
Dec-98,-9983.16,-9983.16,-9982.97,-11648.97
Jan-99,32664.54,32664.54,32663.97,33306.26
Feb-99,27775.61,27775.61,27775.62,28427.22
Mar-99,-10594.85,-10594.85,-10594.42,-11696.73
Apr-99,-57069.55,-57069.55,-57614.59,-59616.83
May-99,-4354.92,-4354.92,-4354.74,-5112.5
Jun-99,10346.23,10346.23,10346.39,10081.42
Jul-99,79086.97,79086.97,79087.26,80281.55
Aug-99,60908.88,60908.88,60908.95,62727.77
Sep-99,56696.29,56696.29,57241.09,59828.8
Oct-99,-13082.74,-13082.74,-13082.39,-11883.29
Nov-99,4325.72,4325.72,4325.76,5204.77
Dec-99,-6754.85,-6754.85,-6755.44,-5148.9
Jan-00,11943.69,11943.69,11944.03,12539.52
Feb-00,17146.96,17146.96,17146.78,17001.13
Mar-00,-14482.89,-14482.89,-14482.54,-16414.62
Apr-00,-32579.51,-32579.51,-33124.27,-34757.37
May-00,-15042.55,-15042.55,-15042.57,-15543.12
Jun-00,-5532.53,-5532.53,-5532.37,-7430.04
Jul-00,-28644.22,-28644.22,-28644.04,-28919.73
Aug-00,29020.43,29020.43,29020.19,29543.57
Sep-00,-2731.85,-2731.85,-2731.67,-2930.37
Oct-00,5577.25,5577.25,5577.36,5461.45
Nov-00,-13803.09,-13803.09,-13802.99,-13879.84
Dec-00,9744.28,9744.28,9744.13,9718.47
Jan-01,41232.99,41232.99,41233.32,40818.06
Feb-01,33581.22,33581.22,33581.32,33680.01
Mar-01,26073.63,26073.63,26073.9,26580.21
Apr-01,-20629.18,-20629.18,-20628.77,-18794.71
May-01,-23086.44,-23086.44,-26969.26,-24521.46
Jun-01,-51103.13,-51103.13,-51103.43,-48540.46
Jul-01,-21716.71,-21716.71,-21716.47,-20760.77
Aug-01,38628.49,38628.49,38629.1,38642.66
Sep-01,24948.82,24948.82,24949.35,25658.18
Oct-01,-16770.44,-16770.44,-16770.32,-17042.78
Nov-01,-4137.16,-4137.16,-4137.54,-3960.37
Dec-01,22676.53,22676.53,22676.81,22397.77
Jan-02,7780.77,7780.77,7781.1,7320.46
Feb-02,2383.88,2383.88,2383.47,2955.99
Mar-02,-35107.75,-35107.75,-35107.53,-32379.47
Apr-02,-37670.99,-37670.99,-47178.99,-42409.12
May-02,-23668.55,-23668.55,-23669.26,-18394.71
Jun-02,-32652.70,-32652.7,-32652.97,-30526.02
Jul-02,4699.43,4699.43,4699.69,5149
Aug-02,10800.22,10800.22,10799.27,10940.92
Sep-02,49926.01,49926.01,49926.12,50008.63
Oct-02,14926.00,14926,14926.01,14926.48
Nov-02,-4393.11,-4393.11,-4393.2,-4549.06
Dec-02,14852.97,14852.97,14852.57,14559.13
Jan-03,25187.14,25187.14,25187.36,25784.96
Feb-03,32553.65,32553.65,32553.58,32807.96
Mar-03,5084.56,5084.56,5083.98,4879.82
Apr-03,691.15,691.15,-6448.83,-10687.48
May-03,-7816.37,-7816.37,-7816.35,-10737.53
Jun-03,-30841.38,-30841.38,-30841.45,-31775.67
Jul-03,803.65,803.65,803.58,216.7
Aug-03,46064.78,46064.78,46064.89,48582.33
Sep-03,31430.53,31430.53,31430.45,30864.54
Oct-03,-19281.43,-19281.43,-19281.41,-19855.38
Nov-03,27794.58,27794.58,8824.45,6191.78
Dec-03,8192.08,8192.08,8192.69,8252.13
Jan-04,-17499.43,-17499.43,-2702.28,76.94
Feb-04,23335.97,23335.97,12711.47,12118.27
Mar-04,-3229.54,-3229.54,-7401.72,-8845.81
Apr-04,2602.63,2602.63,2602.04,413.21
May-04,-1807.93,-1807.93,-1807.41,-553.25
Jun-04,-40057.49,-40057.49,-40056.91,-39476.4
Jul-04,-14708.12,-14708.12,-14708.21,-14576.51
Aug-04,33349.84,33349.84,33350.66,32849.03
Sep-04,28045.69,28045.69,28045.53,28092.64
Oct-04,34326.52,34326.52,34326.69,33746.66
Nov-04,70510.97,70510.97,70511.85,69669.58
Dec-04,54037.73,54037.73,54038.05,53964.75
Jan-05,195995.86,195995.86,195995.38,195938.45
Feb-05,118392.93,118392.93,137363.25,145484.72
Mar-05,63971.31,63971.31,63971.36,68706.34
Apr-05,25286.52,25286.52,25286.58,22612.12
May-05,18445.28,18445.28,18445.1,16128.43
Jun-05,-9429.02,-9429.02,-10946.44,-12085.29
Jul-05,45922.69,45922.69,28470.63,26652
Aug-05,43055.11,43055.11,43054.9,44645.61
Sep-05,20206.36,20206.36,20207.15,19556.86
Oct-05,-6383.55,-6383.55,-6384.13,-7175.55
Nov-05,-12516.02,-12516.02,-12515.4,-13186.92
Dec-05,-10687.50,-10687.5,-10687.23,-9210.36
Jan-06,-452.52,-452.52,-452.48,1865.53
Feb-06,-22998.94,-22998.94,-4028.63,-375.63
Mar-06,21489.39,21489.39,2519.22,-312.63
Apr-06,-15349.78,-15349.78,-15349.34,-18142.75
May-06,-36305.09,-36305.09,-36304.88,-35336.15
Jun-06,-25238.03,-25238.03,-25237.95,-24632.57
Jul-06,-4570.83,-4570.83,-4570.18,-4263.69
